id,loan_amnt,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,default,purpose,title,addr_state
0,12000.0,36 months,11.53,395.89,B,Sales Operations Manager,< 1 year,RENT,85000.0,Source Verified,0,debt_consolidation,Debt consolidation,CO
1,16000.0,60 months,14.65,377.71,F,Clerk Typist 1-2,1 year,MORTGAGE,47800.0,Source Verified,0,debt_consolidation,Debt consolidation,SC
2,4000.0,36 months,10.99,130.94,A,Associate Administrator,10+ years,MORTGAGE,98000.0,Verified,0,home_improvement,GoodtoGo,OR
3,3125.0,36 months,9.93,100.74,F,Williams Blackstock Architects,3 years,RENT,35000.0,Not Verified,0,debt_consolidation,Debt consolidation,AZ
4,15000.0,60 months,15.99,364.7,F,IT Analyst,< 1 year,MORTGAGE,79500.0,Source Verified,1,debt_consolidation,Debt consolidation,NC
5,16000.0,60 months,16.29,391.56,C,FINANCIAL ADVISOR,3 years,RENT,56000.0,Source Verified,1,debt_consolidation,Debt consolidation,CO
6,19750.0,36 months,11.99,655.89,B,Operations and Policy Analyst,10+ years,RENT,72000.0,Verified,0,credit_card,Credit card refinancing,OR
7,20000.0,60 months,15.61,482.23,B,Activity Aid,10+ years,RENT,105000.0,Source Verified,0,credit_card,Credit card refinancing,MI
8,6000.0,36 months,11.22,197.06,C,Asst Database Manager,10+ years,MORTGAGE,67000.0,Not Verified,0,debt_consolidation,Debt consolidation,VA
9,18000.0,36 months,7.89,563.15,B,Lead Tax Associate ,10+ years,OWN,42000.0,Verified,0,credit_card,Credit card refinancing,KS
10,20000.0,36 months,10.15,646.76,C,Director - Bindings,10+ years,MORTGAGE,105000.0,Source Verified,0,debt_consolidation,Debt consolidation,VT
11,5000.0,36 months,13.11,168.74,B,Cummins Inc.,2 years,RENT,62000.0,Not Verified,0,debt_consolidation,Consolidation Loan,IN
12,21000.0,36 months,6.62,644.78,A,Ophthalmologist,10+ years,OWN,210000.0,Verified,0,debt_consolidation,loan club consolidation,GA
13,5000.0,36 months,11.44,164.74,C,Retail Clerk,5 years,OWN,20000.0,Source Verified,0,credit_card,Credit card refinancing,CO
14,25000.0,60 months,11.49,549.69,D,Hewlett-Packard Company,< 1 year,MORTGAGE,180000.0,Verified,0,debt_consolidation,Debt Consolidation,MA
15,12000.0,36 months,15.31,417.81,E,Operator,5 years,MORTGAGE,90000.0,Verified,1,debt_consolidation,Debt consolidation,KY
